draw_number,number,date
19,8263,1986/08/02
19,9419,1986/08/02
19,8424,1986/08/02
19,1082,1986/08/02
19,0732,1986/08/02
19,2106,1986/08/02
19,1088,1986/08/02
19,8759,1986/08/02
19,0180,1986/08/02
19,2652,1986/08/02
19,8232,1986/08/02
19,4242,1986/08/02
19,8496,1986/08/02
20,6751,1986/08/03
20,6352,1986/08/03
20,2340,1986/08/03
20,7649,1986/08/03
20,9558,1986/08/03
20,8067,1986/08/03
20,8815,1986/08/03
20,8687,1986/08/03
20,1097,1986/08/03
20,9825,1986/08/03
20,0106,1986/08/03
20,9935,1986/08/03
20,9207,1986/08/03
20,7302,1986/08/03
20,0872,1986/08/03
20,5256,1986/08/03
20,7446,1986/08/03
20,8551,1986/08/03
20,5330,1986/08/03
20,3895,1986/08/03
20,1896,1986/08/03
21,4174,1986/08/09
21,3459,1986/08/09
21,5114,1986/08/09
21,6993,1986/08/09
21,4497,1986/08/09
21,6934,1986/08/09
21,5832,1986/08/09
21,5335,1986/08/09
21,8152,1986/08/09
21,2116,1986/08/09
21,1150,1986/08/09
21,8769,1986/08/09
21,8339,1986/08/09
21,8080,1986/08/09
21,1433,1986/08/09
21,5836,1986/08/09
21,0468,1986/08/09
21,3822,1986/08/09
21,5303,1986/08/09
21,7131,1986/08/09
21,1433,1986/08/09
21,0304,1986/08/09
21,6085,1986/08/09
21,7407,1986/08/09
21,0534,1986/08/09
22,6910,1986/08/10
22,8894,1986/08/10
22,7773,1986/08/10
22,0227,1986/08/10
22,8257,1986/08/10
22,3953,1986/08/10
22,1942,1986/08/10
22,0713,1986/08/10
22,1227,1986/08/10
22,4593,1986/08/10
22,5280,1986/08/10
22,2080,1986/08/10
22,9555,1986/08/10
22,2208,1986/08/10
22,4809,1986/08/10
22,7658,1986/08/10
22,3699,1986/08/10
22,1346,1986/08/10
22,7460,1986/08/10
22,6307,1986/08/10
22,4797,1986/08/10
22,7088,1986/08/10
22,4036,1986/08/10
23,1195,1986/08/16
23,7775,1986/08/16
23,2664,1986/08/16
23,4884,1986/08/16
23,1470,1986/08/16
23,1367,1986/08/16
23,9304,1986/08/16
23,0075,1986/08/16
23,8139,1986/08/16
23,2198,1986/08/16
23,7856,1986/08/16
23,3733,1986/08/16
23,3242,1986/08/16
23,1768,1986/08/16
23,3260,1986/08/16
23,6455,1986/08/16
23,0183,1986/08/16
23,9694,1986/08/16
23,6764,1986/08/16
23,2690,1986/08/16
23,0700,1986/08/16
23,4232,1986/08/16
23,0696,1986/08/16
24,4513,1986/08/17
24,6184,1986/08/17
24,3059,1986/08/17
24,0997,1986/08/17
24,3223,1986/08/17
24,0811,1986/08/17
24,3694,1986/08/17
24,3078,1986/08/17
24,6760,1986/08/17
24,6907,1986/08/17
24,7492,1986/08/17
24,3570,1986/08/17
24,7790,1986/08/17
24,2738,1986/08/17
24,2390,1986/08/17
24,2702,1986/08/17
24,9701,1986/08/17
24,5589,1986/08/17
24,2670,1986/08/17
24,3196,1986/08/17
24,2309,1986/08/17
25,5868,1986/08/23
25,4673,1986/08/23
25,8147,1986/08/23
25,2783,1986/08/23
25,6934,1986/08/23
25,0622,1986/08/23
25,7553,1986/08/23
25,0335,1986/08/23
25,5681,1986/08/23
25,2225,1986/08/23
25,7571,1986/08/23
25,5496,1986/08/23
25,3446,1986/08/23
25,8813,1986/08/23
25,3079,1986/08/23
25,9432,1986/08/23
25,2008,1986/08/23
25,4423,1986/08/23
25,2027,1986/08/23
25,2392,1986/08/23
25,6981,1986/08/23
25,2899,1986/08/23
25,7437,1986/08/23
26,2286,1986/08/24
26,3654,1986/08/24
26,7437,1986/08/24
